"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-22","0.00","0.0","0.0","66","35","50"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-23","0.08","0.0","0.0","72","46","56"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-24","0.14","0.0","0.0","68","50","50"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-25","0.00","0.0","0.0","64","40","53"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-26","0.01","0.0","0.0","70","51","62"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-27","0.00","0.0","0.0","80","62","70"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-28","0.00","0.0","0.0","81","63","68"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-29","0.43","0.0","0.0","80","63","63"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-04-30","0.35","0.0","0.0","79","62","62"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-01","0.00","0.0","0.0","86","56","70"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-02","0.00","0.0","0.0","87","62","71"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-03","1.17","0.0","0.0","71","64","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-04","0.00","0.0","0.0","81","65","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-05","0.56","0.0","0.0","80","61","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-06","1.05","0.0","0.0","74","63","64"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-07","0.27","0.0","0.0","82","62","74"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-08","1.12","0.0","0.0","78","63","64"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-09","0.16","0.0","0.0","80","62","65"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-10","0.00","0.0","0.0","71","55","58"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-11","0.00","0.0","0.0","74","51","56"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-12","0.00","0.0","0.0","80","50","62"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-13","0.00","0.0","0.0","79","56","61"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-14","0.15","0.0","0.0","73","60","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-15","0.60","0.0","0.0","77","61","64"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-16","0.00","0.0","0.0","80","58","67"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-17","0.34","0.0","0.0","70","63","63"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-18","0.00","0.0","0.0","82","59","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-19","0.00","0.0","0.0","87","61","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-20","0.00","0.0","0.0","88","62","72"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-21","0.00","0.0","0.0","88","66","74"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-22","0.52","0.0","0.0","82","63","64"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-23","0.83","0.0","0.0","75","63","63"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-24","0.00","0.0","0.0","81","60","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-25","0.57","0.0","0.0","82","65","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-26","1.05","0.0","0.0","76","64","65"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-27","0.30","0.0","0.0","81","61","65"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-28","0.00","0.0","0.0","80","60","67"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-29","0.00","0.0","0.0","73","58","59"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-30","0.00","0.0","0.0","77","54","63"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-05-31","0.00","0.0","0.0","77","56","64"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-01","0.12","0.0","0.0","72","61","63"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-02","0.05","0.0","0.0","80","63","68"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-03","0.00","0.0","0.0","86","64","72"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-04","0.23","0.0","0.0","87","66","70"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-05","0.31","0.0","0.0","83","68","72"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-06","0.00","0.0","0.0","85","69","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-07","0.00","0.0","0.0","83","64","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-08","0.00","0.0","0.0","77","58","73"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-09","0.00","0.0","0.0","78","66","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-10","0.00","0.0","0.0","73","56","56"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-11","0.00","0.0","0.0","79","50","60"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-12","0.00","0.0","0.0","84","52","65"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-13","0.00","0.0","0.0","89","58","71"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-14","0.00","0.0","0.0","90","66","75"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-15","0.00","0.0","0.0","85","68","71"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-16","0.00","0.0","0.0","94","61","83"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-17","0.00","0.0","0.0","94","74","81"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-18","0.00","0.0","0.0","91","74","80"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-19","0.00","0.0","0.0","89","75","76"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-20","0.00","0.0","0.0","90","70","79"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-21","0.00","0.0","0.0","94","71","80"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-22","0.00","0.0","0.0","95","72","80"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-23","0.05","0.0","0.0","85","75","76"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-24","0.00","0.0","0.0","89","67","73"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-25","0.75","0.0","0.0","92","66","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-26","0.35","0.0","0.0","85","69","71"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-27","0.01","0.0","0.0","85","65","71"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-28","0.00","0.0","0.0","92","66","81"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-29","0.00","0.0","0.0","93","79","82"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-06-30","0.07","0.0","0.0","86","69","69"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-07-01","0.00","0.0","0.0","78","61","66"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-07-02","0.00","0.0","0.0","92","58","80"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-07-03","1.64","0.0","0.0","91","74","74"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-07-04","0.66","0.0","0.0","88","72","76"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-07-05","0.11","0.0","0.0","88","73","75"
